,Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
164,POLY-USD,Polymath USD,0.145132,0.004021,+2.85%,134.247M,1.447M,1.447M,1.447M,924.998M,,
165,T-USD,Threshold USD,0.016254,0.000413,+2.61%,134.024M,2.709M,2.709M,2.709M,8.245B,,
166,ZRX-USD,0x USD,0.157681,0.004267,+2.78%,133.634M,8.007M,8.007M,8.007M,847.496M,,
167,AMP-USD,Amp USD,0.00313,2.5e-05,+0.79%,132.165M,2.878M,2.878M,2.878M,42.228B,,
168,IOST-USD,IOST USD,0.0071,0.000108,+1.54%,131.982M,7.802M,7.802M,7.802M,18.589B,,
169,EURS-USD,STASIS EURO USD,1.0572,0.004,+0.38%,131.226M,1.099M,1.099M,1.099M,124.126M,,
170,TEL-USD,Telcoin USD,0.001974,5.4e-05,+2.80%,128.331M,975480,975480,975480,65.014B,,
171,AUDIO-USD,Audius USD,0.136574,0.003342,+2.51%,127.831M,5.544M,5.544M,5.544M,935.984M,,
172,DGB-USD,DigiByte USD,0.008008,0.000145,+1.85%,127.506M,2.398M,2.398M,2.398M,15.922B,,
173,RSR-USD,Reserve Rights USD,0.003013,5.2e-05,+1.76%,127.453M,8.776M,8.776M,8.776M,42.302B,,
174,LPT-USD,Livepeer USD,4.6939,-0.0042,-0.09%,126.759M,4.903M,4.903M,4.903M,27.005M,,
175,SFP-USD,SafePal USD,0.388107,0.000419,+0.11%,125.903M,7.189M,7.189M,7.189M,324.402M,,
176,GALA-USD,Gala USD,0.01783,0.000279,+1.59%,124.407M,38.946M,38.946M,38.946M,6.977B,,
177,BRISE-USD,Bitgert USD,3.1e-07,0.0,+1.56%,124.027M,641810,641810,641810,395.688T,,
178,SC-USD,Siacoin USD,0.002316,4e-05,+1.76%,122.767M,1.828M,1.828M,1.828M,53.012B,,
179,CEL-USD,Celsius USD,0.515292,0.01791,+3.60%,123.085M,1.388M,1.388M,1.388M,238.864M,,
